date,day,count,dailyCountCum,dailyPercentageCum,year,month,week
24/04/1997,114,36,36,6.51,1997,4,17
25/04/1997,115,12,48,8.68,1997,4,17
26/04/1997,116,79,127,22.97,1997,4,17
27/04/1997,117,0,127,22.97,1997,4,17
28/04/1997,118,54,181,32.73,1997,4,17
29/04/1997,119,85,181,32.73,1997,4,17
30/04/1997,120,160,307,55.52,1997,4,18
02/05/1997,122,127,468,84.63,1997,5,18
04/05/2001,124,5,5,11.9,2001,5,18
05/05/2001,125,7,12,28.57,2001,5,18
09/05/2001,129,13,25,59.52,2001,5,19
10/05/2001,130,13,38,90.48,2001,5,19
25/05/2001,145,2,40,95.24,2001,5,21
29/05/2001,149,2,42,100,2001,5,22
19/04/2004,110,5,5,0.21,2004,4,16
20/04/2004,111,10,15,0.64,2004,4,16
21/04/2004,112,26,41,1.75,2004,4,16
22/04/2004,113,60,101,4.3,2004,4,17
23/04/2004,114,59,160,6.81,2004,4,17
24/04/2004,115,68,228,9.71,2004,4,17
25/04/2004,116,104,332,14.14,2004,4,17
26/04/2004,117,60,392,16.7,2004,4,17
27/04/2004,118,103,495,21.08,2004,4,17
28/04/2004,119,13,508,21.64,2004,4,17
29/04/2004,120,15,523,22.27,2004,4,18
30/04/2004,121,24,547,23.3,2004,4,18
01/05/2004,122,187,734,31.26,2004,5,18
02/05/2004,123,67,801,34.11,2004,5,18
03/05/2004,124,4,805,34.28,2004,5,18
04/05/2004,125,1065,1870,79.64,2004,5,18
05/05/2004,126,475,2345,99.87,2004,5,18
07/05/2004,128,3,2348,100,2004,5,19
19/04/2005,109,10,10,0.81,2005,4,16
20/04/2005,110,12,22,1.77,2005,4,16
21/04/2005,111,6,28,2.25,2005,4,16
22/04/2005,112,0,28,2.25,2005,4,16
23/04/2005,113,1,29,2.33,2005,4,17
24/04/2005,114,2,31,2.5,2005,4,17
25/04/2005,115,6,37,2.98,2005,4,17
26/04/2005,116,43,80,6.44,2005,4,17
27/04/2005,117,14,94,7.57,2005,4,17
28/04/2005,118,56,150,12.08,2005,4,17
29/04/2005,119,91,241,19.4,2005,4,17
30/04/2005,120,97,338,27.21,2005,4,18
01/05/2005,121,291,629,50.64,2005,5,18
02/05/2005,122,447,1076,86.63,2005,5,18
03/05/2005,123,54,1130,90.98,2005,5,18
04/05/2005,124,45,1175,94.61,2005,5,18
05/05/2005,125,11,1186,95.49,2005,5,18
10/05/2005,130,2,1188,95.65,2005,5,19
16/05/2005,136,2,1190,95.81,2005,5,20
17/05/2005,137,8,1198,96.46,2005,5,20
18/05/2005,138,0,1198,96.46,2005,5,20
24/05/2005,144,44,1242,100,2005,5,21
21/04/2006,111,11,11,0.43,2006,4,16
22/04/2006,112,2,13,0.51,2006,4,16
23/04/2006,113,22,35,1.37,2006,4,17
24/04/2006,114,0,35,1.37,2006,4,17
25/04/2006,115,33,68,2.66,2006,4,17
26/04/2006,116,1,69,2.7,2006,4,17
27/04/2006,117,89,158,6.17,2006,4,17
28/04/2006,118,79,237,9.26,2006,4,17
29/04/2006,119,110,347,13.56,2006,4,17
30/04/2006,120,12,359,14.03,2006,4,18
01/05/2006,121,72,431,16.84,2006,5,18
02/05/2006,122,38,469,18.33,2006,5,18
03/05/2006,123,492,961,37.55,2006,5,18
04/05/2006,124,231,1192,46.58,2006,5,18
05/05/2006,125,314,1506,58.85,2006,5,18
06/05/2006,126,65,1571,61.39,2006,5,18
07/05/2006,127,87,1658,64.79,2006,5,19
08/05/2006,128,893,2551,99.69,2006,5,19
09/05/2006,129,3,2554,99.8,2006,5,19
15/05/2006,135,5,2559,100,2006,5,20
31/03/2007,90,0,0,0,2007,3,13
12/04/2007,102,14,14,0.64,2007,4,15
16/04/2007,106,28,42,1.92,2007,4,16
20/04/2007,110,44,86,3.94,2007,4,16
22/04/2007,112,40,126,5.77,2007,4,16
23/04/2007,113,40,166,7.6,2007,4,17
24/04/2007,114,49,215,9.84,2007,4,17
25/04/2007,115,159,374,17.12,2007,4,17
26/04/2007,116,107,481,22.02,2007,4,17
27/04/2007,117,162,643,29.44,2007,4,17
28/04/2007,118,161,804,36.81,2007,4,17
29/04/2007,119,54,858,39.29,2007,4,17
30/04/2007,120,40,898,41.12,2007,4,18
01/05/2007,121,53,951,43.54,2007,5,18
02/05/2007,122,85,1036,47.44,2007,5,18
03/05/2007,123,75,1111,50.87,2007,5,18
04/05/2007,124,93,1204,55.13,2007,5,18
05/05/2007,125,34,1238,56.68,2007,5,18
06/05/2007,126,69,1307,59.84,2007,5,18
07/05/2007,127,62,1369,62.68,2007,5,19
08/05/2007,128,64,1433,65.61,2007,5,19
09/05/2007,129,621,2054,94.05,2007,5,19
10/05/2007,130,130,2184,100,2007,5,19
07/04/2008,98,0,0,0,2008,4,14
16/04/2008,107,0,0,0,2008,4,16
30/04/2008,121,19,19,3.52,2008,4,18
11/05/2008,132,219,238,44.07,2008,5,19
12/05/2008,133,140,378,70,2008,5,19
13/05/2008,134,65,443,82.04,2008,5,20
17/05/2008,138,43,486,90,2008,5,20
19/05/2008,140,20,506,93.7,2008,5,20
27/05/2008,148,9,515,95.37,2008,5,22
28/05/2008,149,25,540,100,2008,5,22
08/04/2009,98,254,254,9.36,2009,4,14
09/04/2009,99,13,267,9.83,2009,4,15
15/04/2009,105,646,913,33.63,2009,4,15
16/04/2009,106,28,941,34.66,2009,4,16
22/04/2009,112,7,948,34.92,2009,4,16
27/04/2009,117,75,1023,37.68,2009,4,17
30/04/2009,120,1153,2176,80.15,2009,4,18
15/05/2009,135,539,2715,100,2009,5,20
19/04/2010,109,10,10,1.3,2010,4,16
26/04/2010,116,2,12,1.56,2010,4,17
29/04/2010,119,291,303,39.5,2010,4,17
30/04/2010,120,100,403,52.54,2010,4,18
02/05/2010,122,300,703,91.66,2010,5,18
06/05/2010,126,22,725,94.52,2010,5,18
18/05/2010,138,17,742,96.74,2010,5,20
20/05/2010,140,25,767,100,2010,5,20
15/04/2011,105,3,3,0.2,2011,4,15
21/04/2011,111,49,52,3.43,2011,4,16
23/04/2011,113,31,83,5.47,2011,4,17
27/04/2011,117,32,115,7.58,2011,4,17
