date,day,count,dailyCountCum,dailyPercentageCum,year,month,week
03/05/2011,123,48,163,10.74,2011,5,18
07/05/2011,127,200,363,23.93,2011,5,19
08/05/2011,128,953,1316,86.75,2011,5,19
09/05/2011,129,139,1455,95.91,2011,5,19
12/05/2011,132,6,1461,96.31,2011,5,19
23/05/2011,143,56,1517,100,2011,5,21
17/04/2012,108,50,50,54.95,2012,4,16
19/04/2012,110,36,86,94.51,2012,4,16
08/05/2012,129,5,91,100,2012,5,19
15/05/2012,136,0,91,100,2012,5,20
26/04/2013,116,2,2,0.11,2013,4,17
02/05/2013,122,7,9,0.49,2013,5,18
09/05/2013,129,1780,1789,97.02,2013,5,19
10/05/2013,130,55,1844,100,2013,5,19
01/05/2014,121,242,242,12.62,2014,5,18
06/05/2014,126,44,286,14.92,2014,5,18
08/05/2014,128,407,693,36.15,2014,5,19
10/05/2014,130,1224,1917,100,2014,5,19
29/04/2015,119,26,26,5.05,2015,4,17
02/05/2015,122,24,50,9.71,2015,5,18
03/05/2015,123,299,349,67.77,2015,5,18
05/05/2015,125,166,515,100,2015,5,18
18/05/2015,138,0,515,100,2015,5,20
04/05/2016,125,10,10,2.02,2016,5,18
08/05/2016,129,177,187,37.7,2016,5,19
10/05/2016,131,309,496,100,2016,5,19
11/05/2016,132,0,496,100,2016,5,19
05/05/2017,125,21,21,9.5,2017,5,18
08/05/2017,128,40,61,27.6,2017,5,19
12/05/2017,132,23,84,38.01,2017,5,19
15/05/2017,135,25,109,49.32,2017,5,20
16/05/2017,136,98,207,93.67,2017,5,20
20/05/2017,140,14,221,100,2017,5,20
30/05/2017,150,0,221,100,2017,5,22
27/04/2018,117,0,0,0,2018,4,17
02/05/2018,122,325,325,80.65,2018,5,18
07/05/2018,127,20,345,85.61,2018,5,19
10/05/2018,130,15,360,89.33,2018,5,19
16/05/2018,136,43,403,100,2018,5,20
21/05/2018,141,0,403,100,2018,5,21
24/04/2019,114,80,80,36.04,2019,4,17
27/04/2019,117,85,165,74.32,2019,4,17
28/04/2019,118,6,171,77.03,2019,4,17
08/05/2019,128,51,222,100,2019,5,19
