date,day,count,dailyCountCum,dailyPercentageCum,year,month,week,quartile
05/05/1997,125,538,538,42.73,1997,5,18,25
06/05/1997,126,268,806,64.02,1997,5,18,50
06/05/1997,126,205,1011,80.3,1997,5,18,75
24/04/2002,114,33,264,25.02,2002,4,17,25
14/05/2002,134,46,564,53.46,2002,5,20,50
18/05/2002,138,74,838,79.43,2002,5,20,75
