date,day,count,dailyCountCum,dailyPercentageCum,year,month,week,quartile
05/05/2006,125,457,1259,29.2,2006,5,18,25
09/05/2006,129,1824,3452,80.06,2006,5,19,50
09/05/2006,129,1824,3452,80.06,2006,5,19,75
25/04/2007,115,576,615,32.96,2007,4,17,25
30/04/2007,120,170,951,50.96,2007,4,18,50
09/05/2007,129,140,1477,79.15,2007,5,19,75
01/05/2008,122,268,446,50.51,2008,5,18,25
01/05/2008,122,268,446,50.51,2008,5,18,50
05/05/2008,126,88,688,77.92,2008,5,18,75
16/04/2009,106,52,127,25.81,2009,4,16,25
01/05/2009,121,285,485,98.58,2009,5,18,50
01/05/2009,121,285,485,98.58,2009,5,18,75
02/05/2010,122,242,318,47.68,2010,5,18,25
19/05/2010,139,53,371,55.62,2010,5,20,50
21/05/2010,141,175,546,81.86,2010,5,21,75
23/05/2011,143,271,521,49.2,2011,5,21,25
24/05/2011,144,305,826,78,2011,5,21,50
24/05/2011,144,305,826,78,2011,5,21,75
11/04/2012,102,80,163,32.21,2012,4,15,25
17/04/2012,108,81,271,53.56,2012,4,16,50
19/04/2012,110,52,388,76.68,2012,4,16,75
12/05/2013,132,583,583,82.7,2013,5,19,25
12/05/2013,132,583,583,82.7,2013,5,19,50
12/05/2013,132,583,583,82.7,2013,5,19,75
28/04/2014,118,21,21,32.81,2014,4,17,25
02/05/2014,122,27,48,75,2014,5,18,50
02/05/2014,122,27,48,75,2014,5,18,75
04/05/2015,124,428,474,31.54,2015,5,18,25
05/05/2015,125,877,1351,89.89,2015,5,18,50
05/05/2015,125,877,1351,89.89,2015,5,18,75
22/05/2016,143,648,947,78.92,2016,5,21,25
22/05/2016,143,648,947,78.92,2016,5,21,50
22/05/2016,143,648,947,78.92,2016,5,21,75
17/05/2017,137,36,46,100,2017,5,20,25
17/05/2017,137,36,46,100,2017,5,20,50
17/05/2017,137,36,46,100,2017,5,20,75
03/05/2018,123,58,58,33.92,2018,5,18,25
04/05/2018,124,34,92,53.8,2018,5,18,50
22/05/2018,142,47,168,98.25,2018,5,21,75
28/04/2019,118,34,113,35.31,2019,4,17,25
29/04/2019,119,51,164,51.25,2019,4,17,50
13/05/2019,133,59,287,89.69,2019,5,19,75
