date,day,count,dailyCountCum,dailyPercentageCum,year,month,week
21/04/2006,111,30,30,0.7,2006,4,16
23/04/2006,113,15,45,1.04,2006,4,17
25/04/2006,115,44,89,2.06,2006,4,17
27/04/2006,117,59,148,3.43,2006,4,17
28/04/2006,118,88,236,5.47,2006,4,17
30/04/2006,120,12,248,5.75,2006,4,18
01/05/2006,121,90,338,7.84,2006,5,18
02/05/2006,122,21,359,8.33,2006,5,18
03/05/2006,123,236,595,13.8,2006,5,18
04/05/2006,124,207,802,18.6,2006,5,18
05/05/2006,125,457,1259,29.2,2006,5,18
06/05/2006,126,28,1287,29.85,2006,5,18
07/05/2006,127,54,1341,31.1,2006,5,19
08/05/2006,128,287,1628,37.76,2006,5,19
09/05/2006,129,1824,3452,80.06,2006,5,19
10/05/2006,130,661,4113,95.38,2006,5,19
11/05/2006,131,55,4168,96.66,2006,5,19
13/05/2006,133,58,4226,98.01,2006,5,19
15/05/2006,135,9,4235,98.21,2006,5,20
17/05/2006,137,46,4281,99.28,2006,5,20
18/05/2006,138,31,4312,100,2006,5,20
01/06/2006,152,0,4312,100,2006,6,22
29/03/2007,88,0,0,0,2007,3,13
03/04/2007,93,0,0,0,2007,4,14
05/04/2007,95,0,0,0,2007,4,14
10/04/2007,100,2,2,0.11,2007,4,15
14/04/2007,104,11,13,0.7,2007,4,15
17/04/2007,107,13,26,1.39,2007,4,16
24/04/2007,114,13,39,2.09,2007,4,17
25/04/2007,115,576,615,32.96,2007,4,17
26/04/2007,116,45,660,35.37,2007,4,17
28/04/2007,118,121,781,41.85,2007,4,17
30/04/2007,120,170,951,50.96,2007,4,18
01/05/2007,121,117,1068,57.23,2007,5,18
02/05/2007,122,79,1147,61.47,2007,5,18
04/05/2007,124,27,1174,62.92,2007,5,18
07/05/2007,127,102,1276,68.38,2007,5,19
08/05/2007,128,61,1337,71.65,2007,5,19
09/05/2007,129,140,1477,79.15,2007,5,19
10/05/2007,130,53,1530,81.99,2007,5,19
11/05/2007,131,82,1612,86.39,2007,5,19
12/05/2007,132,210,1822,97.64,2007,5,19
13/05/2007,133,28,1850,99.14,2007,5,19
18/05/2007,138,6,1856,99.46,2007,5,20
21/05/2007,141,0,1856,99.46,2007,5,21
23/05/2007,143,0,1856,99.46,2007,5,21
24/05/2007,144,3,1859,99.62,2007,5,21
28/05/2007,148,7,1866,100,2007,5,22
21/04/2008,112,1,1,0.11,2008,4,16
24/04/2008,115,26,27,3.06,2008,4,17
27/04/2008,118,36,63,7.13,2008,4,17
28/04/2008,119,34,97,10.99,2008,4,17
30/04/2008,121,81,178,20.16,2008,4,18
01/05/2008,122,268,446,50.51,2008,5,18
02/05/2008,123,154,600,67.95,2008,5,18
05/05/2008,126,88,688,77.92,2008,5,18
06/05/2008,127,35,723,81.88,2008,5,19
10/05/2008,131,37,760,86.07,2008,5,19
14/05/2008,135,32,792,89.69,2008,5,20
15/05/2008,136,2,794,89.92,2008,5,20
17/05/2008,138,1,795,90.03,2008,5,20
20/05/2008,141,3,798,90.37,2008,5,21
28/05/2008,149,28,826,93.54,2008,5,22
03/06/2008,155,39,865,97.96,2008,6,23
04/06/2008,156,4,869,98.41,2008,6,23
19/06/2008,171,14,883,100,2008,6,25
08/04/2009,98,5,5,1.02,2009,4,14
15/04/2009,105,70,75,15.24,2009,4,15
16/04/2009,106,52,127,25.81,2009,4,16
20/04/2009,110,8,135,27.44,2009,4,16
27/04/2009,117,14,149,30.28,2009,4,17
28/04/2009,118,51,200,40.65,2009,4,17
01/05/2009,121,285,485,98.58,2009,5,18
05/05/2009,125,7,492,100,2009,5,18
22/04/2010,112,1,1,0.15,2010,4,16
27/04/2010,117,19,20,3,2010,4,17
30/04/2010,120,56,76,11.39,2010,4,18
02/05/2010,122,242,318,47.68,2010,5,18
13/05/2010,133,0,318,47.68,2010,5,19
19/05/2010,139,53,371,55.62,2010,5,20
21/05/2010,141,175,546,81.86,2010,5,21
23/05/2010,143,53,599,89.81,2010,5,21
24/05/2010,144,61,660,98.95,2010,5,21
29/05/2010,149,2,662,99.25,2010,5,22
