date,day,count,dailyCountCum,dailyPercentageCum,year,month,week
01/06/2010,152,5,667,100,2010,6,22
11/04/2011,101,0,0,0,2011,4,15
19/04/2011,109,9,9,0.85,2011,4,16
26/04/2011,116,9,18,1.7,2011,4,17
03/05/2011,123,35,53,5,2011,5,18
08/05/2011,128,162,215,20.3,2011,5,19
09/05/2011,129,15,230,21.72,2011,5,19
16/05/2011,136,3,233,22,2011,5,20
22/05/2011,142,17,250,23.61,2011,5,21
23/05/2011,143,271,521,49.2,2011,5,21
24/05/2011,144,305,826,78,2011,5,21
27/05/2011,147,191,1017,96.03,2011,5,21
30/05/2011,150,23,1040,98.21,2011,5,22
31/05/2011,151,19,1059,100,2011,5,22
05/04/2012,96,17,17,3.36,2012,4,14
09/04/2012,100,10,27,5.34,2012,4,15
10/04/2012,101,56,83,16.4,2012,4,15
11/04/2012,102,80,163,32.21,2012,4,15
12/04/2012,103,27,190,37.55,2012,4,15
17/04/2012,108,81,271,53.56,2012,4,16
18/04/2012,109,65,336,66.4,2012,4,16
19/04/2012,110,52,388,76.68,2012,4,16
09/05/2012,130,28,416,82.21,2012,5,19
11/05/2012,132,50,466,92.09,2012,5,19
16/05/2012,137,8,474,93.68,2012,5,20
24/05/2012,145,31,505,99.8,2012,5,21
29/05/2012,150,1,506,100,2012,5,22
12/05/2013,132,583,583,82.7,2013,5,19
13/05/2013,133,106,689,97.73,2013,5,19
23/05/2013,143,6,695,98.58,2013,5,21
28/05/2013,148,10,705,100,2013,5,22
28/04/2014,118,21,21,32.81,2014,4,17
02/05/2014,122,27,48,75,2014,5,18
18/05/2014,138,12,60,93.75,2014,5,20
20/05/2014,140,4,64,100,2014,5,20
21/04/2015,111,23,23,35.94,2015,4,16
23/04/2015,113,23,46,3.06,2015,4,17
04/05/2015,124,428,474,31.54,2015,5,18
05/05/2015,125,877,1351,89.89,2015,5,18
06/05/2015,126,70,1421,94.54,2015,5,18
11/05/2015,131,39,1460,97.14,2015,5,19
13/05/2015,133,13,1473,98,2015,5,19
19/05/2015,139,30,1503,100,2015,5,20
26/04/2016,117,6,6,0.5,2016,4,17
05/05/2016,126,49,55,4.58,2016,5,18
09/05/2016,130,137,192,16,2016,5,19
11/05/2016,132,91,283,23.58,2016,5,19
19/05/2016,140,16,299,24.92,2016,5,20
22/05/2016,143,648,947,78.92,2016,5,21
23/05/2016,144,253,1200,100,2016,5,21
03/05/2017,123,7,7,15.22,2017,5,18
10/05/2017,130,3,10,21.74,2017,5,19
17/05/2017,137,36,46,100,2017,5,20
18/05/2017,138,0,46,100,2017,5,20
06/06/2017,157,0,46,100,2017,6,23
03/05/2018,123,58,58,33.92,2018,5,18
04/05/2018,124,34,92,53.8,2018,5,18
10/05/2018,130,13,105,61.4,2018,5,19
15/05/2018,135,16,121,70.76,2018,5,20
22/05/2018,142,47,168,98.25,2018,5,21
25/05/2018,145,0,168,98.25,2018,5,21
28/05/2018,148,3,171,100,2018,5,22
23/04/2019,113,2,2,0.63,2019,4,17
25/04/2019,115,77,79,24.69,2019,4,17
28/04/2019,118,34,113,35.31,2019,4,17
29/04/2019,119,51,164,51.25,2019,4,17
01/05/2019,121,20,184,57.5,2019,5,18
08/05/2019,128,2,186,58.13,2019,5,19
09/05/2019,129,42,228,71.25,2019,5,19
13/05/2019,133,59,287,89.69,2019,5,19
15/05/2019,135,24,311,97.19,2019,5,20
16/05/2019,136,2,313,97.81,2019,5,20
22/05/2019,142,7,320,100,2019,5,21
