year,week,start_wk,count,weeklyCountCum,weeklyPercentageCum,start_wk_date,wk_start_dayOfYear
1976,26,22/06/1976,2,6206,99.96778350515464,1976-06-22T00:00:00Z,174
1976,27,30/06/1976,1,6207,99.9838917525773,1976-06-30T00:00:00Z,182
1976,29,15/07/1976,1,6208,100,1976-07-15T00:00:00Z,197
1977,13,03/04/1977,2,2,0.06809669731018045,1977-04-03T00:00:00Z,93
1977,14,07/04/1977,5,7,0.2383384405856316,1977-04-07T00:00:00Z,97
1977,15,11/04/1977,59,66,2.247191011235955,1977-04-11T00:00:00Z,101
1977,16,18/04/1977,231,297,10.112359550561797,1977-04-18T00:00:00Z,108
1977,17,25/04/1977,153,450,15.321756894790603,1977-04-25T00:00:00Z,115
1977,18,02/05/1977,548,998,33.98025195778005,1977-05-02T00:00:00Z,122
1977,19,09/05/1977,110,1108,37.72557030983997,1977-05-09T00:00:00Z,129
1977,20,16/05/1977,502,1610,54.817841334695274,1977-05-16T00:00:00Z,136
1977,21,23/05/1977,499,2109,71.80796731358528,1977-05-23T00:00:00Z,143
1977,22,30/05/1977,623,2732,93.0200885257065,1977-05-30T00:00:00Z,150
1977,23,06/06/1977,126,2858,97.31018045624788,1977-06-06T00:00:00Z,157
1977,24,13/06/1977,61,2919,99.38712972420838,1977-06-13T00:00:00Z,164
1977,25,21/06/1977,14,2933,99.86380660537964,1977-06-21T00:00:00Z,172
1977,26,30/06/1977,2,2935,99.93190330268982,1977-06-30T00:00:00Z,181
1977,27,04/07/1977,2,2937,100,1977-07-04T00:00:00Z,185
1978,13,02/04/1978,10,10,0.40650406504065045,1978-04-02T00:00:00Z,92
1978,14,03/04/1978,15,25,1.0162601626016259,1978-04-03T00:00:00Z,93
1978,15,11/04/1978,29,54,2.195121951219512,1978-04-11T00:00:00Z,101
1978,16,17/04/1978,65,119,4.837398373983739,1978-04-17T00:00:00Z,107
1978,17,24/04/1978,274,393,15.975609756097562,1978-04-24T00:00:00Z,114
1978,18,01/05/1978,193,586,23.821138211382113,1978-05-01T00:00:00Z,121
1978,19,08/05/1978,253,839,34.10569105691057,1978-05-08T00:00:00Z,128
1978,20,15/05/1978,745,1584,64.39024390243902,1978-05-15T00:00:00Z,135
1978,21,22/05/1978,448,2032,82.60162601626017,1978-05-22T00:00:00Z,142
1978,22,29/05/1978,349,2381,96.78861788617887,1978-05-29T00:00:00Z,149
1978,23,05/06/1978,26,2407,97.84552845528455,1978-06-05T00:00:00Z,156
1978,24,13/06/1978,29,2436,99.02439024390245,1978-06-13T00:00:00Z,164
1978,25,19/06/1978,11,2447,99.47154471544715,1978-06-19T00:00:00Z,170
