year,week,start_wk,count,weeklyCountCum,weeklyPercentageCum,start_wk_date,wk_start_dayOfYear,quartile
1998,20,11/05/1998,2990,5846,73.21227301189731,1998-05-11T00:00:00Z,131,50
1998,21,18/05/1998,1468,7314,91.59674389480276,1998-05-18T00:00:00Z,138,75
1999,16,19/04/1999,333,960,29.511220411927454,1999-04-19T00:00:00Z,109,25
1999,18,03/05/1999,1513,2667,81.98585920688595,1999-05-03T00:00:00Z,123,50
1999,18,03/05/1999,1513,2667,81.98585920688595,1999-05-03T00:00:00Z,123,75
2000,17,24/04/2000,252,1162,25.48245614035088,2000-04-24T00:00:00Z,115,25
2000,19,08/05/2000,1782,3353,73.53070175438596,2000-05-08T00:00:00Z,129,50
2000,20,15/05/2000,397,3750,82.23684210526315,2000-05-15T00:00:00Z,136,75
2001,19,07/05/2001,3778,4684,47.251084434580854,2001-05-07T00:00:00Z,127,25
2001,20,14/05/2001,2305,6989,70.50337940078684,2001-05-14T00:00:00Z,134,50
2001,21,21/05/2001,2494,9483,95.6622616765863,2001-05-21T00:00:00Z,141,75
2002,18,29/04/2002,4609,7653,55.63794983642312,2002-04-29T00:00:00Z,119,25
2002,18,29/04/2002,4609,7653,55.63794983642312,2002-04-29T00:00:00Z,119,50
2002,19,06/05/2002,5875,13528,98.34969102144674,2002-05-06T00:00:00Z,126,75
2003,16,14/04/2003,1379,1963,29.855513307984793,2003-04-14T00:00:00Z,104,25
2003,17,21/04/2003,3812,5775,87.83269961977186,2003-04-21T00:00:00Z,111,50
2003,17,21/04/2003,3812,5775,87.83269961977186,2003-04-21T00:00:00Z,111,75
2004,18,26/04/2004,641,993,40.05647438483259,2004-04-26T00:00:00Z,117,25
2004,20,10/05/2004,410,1642,66.23638563937071,2004-05-10T00:00:00Z,131,50
2004,21,17/05/2004,436,2078,83.82412263009277,2004-05-17T00:00:00Z,138,75
2005,17,25/04/2005,529,1124,43.065134099616856,2005-04-25T00:00:00Z,115,25
2005,18,02/05/2005,338,1462,56.015325670498086,2005-05-02T00:00:00Z,122,50
2005,20,16/05/2005,725,2452,93.9463601532567,2005-05-16T00:00:00Z,136,75
2006,18,01/05/2006,4491,5865,37.67827315945008,2006-05-01T00:00:00Z,121,25
2006,19,08/05/2006,4828,10693,68.69459077476552,2006-05-08T00:00:00Z,128,50
2006,20,15/05/2006,4642,15335,98.51599640241552,2006-05-15T00:00:00Z,135,75
2007,16,16/04/2007,3205,4792,31.120924795427978,2007-04-16T00:00:00Z,106,25
2007,17,23/04/2007,3971,8763,56.90998831017016,2007-04-23T00:00:00Z,113,50
2007,18,30/04/2007,3714,12477,81.03000389660994,2007-04-30T00:00:00Z,120,75
2008,18,28/04/2008,1170,2055,43.94781864841745,2008-04-28T00:00:00Z,119,25
2008,19,05/05/2008,939,2994,64.02908468776732,2008-05-05T00:00:00Z,126,50
2008,20,12/05/2008,589,3583,76.62532078699743,2008-05-12T00:00:00Z,133,75
2009,17,20/04/2009,3184,5877,31.052520342386135,2009-04-20T00:00:00Z,110,25
2009,18,27/04/2009,8195,14072,74.3527422593258,2009-04-27T00:00:00Z,117,50
2009,19,04/05/2009,3506,17578,92.87752298425447,2009-05-04T00:00:00Z,124,75
2010,18,03/05/2010,1311,2049,31.68393381784444,2010-05-03T00:00:00Z,123,25
2010,19,10/05/2010,1646,3695,57.136230091232406,2010-05-10T00:00:00Z,130,50
2010,20,17/05/2010,2197,5892,91.10870573681768,2010-05-17T00:00:00Z,137,75
2011,17,25/04/2011,7763,11597,68.9353860785829,2011-04-25T00:00:00Z,115,25
2011,17,25/04/2011,7763,11597,68.9353860785829,2011-04-25T00:00:00Z,115,50
2011,18,02/05/2011,5180,16777,99.72656482196992,2011-05-02T00:00:00Z,122,75
2012,15,09/04/2012,1670,2136,62.14722141402385,2012-04-09T00:00:00Z,100,25
2012,15,09/04/2012,1670,2136,62.14722141402385,2012-04-09T00:00:00Z,100,50
2012,16,16/04/2012,618,2754,80.1280186208903,2012-04-16T00:00:00Z,107,75
2013,18,30/04/2013,342,378,38.18181818181819,2013-04-30T00:00:00Z,120,25
2013,19,06/05/2013,207,585,59.09090909090909,2013-05-06T00:00:00Z,126,50
2013,20,13/05/2013,381,966,97.57575757575758,2013-05-13T00:00:00Z,133,75
