julianday,year,count,intDate,date,month,week,day,dailyCountCum,dailyPercentageCum,quartile
111,1996,17,9606,1996-04-20,4,16,111,37,25.874125874125873,25
113,1996,11,9608,1996-04-22,4,17,113,72,50.349650349650354,50
117,1996,3,9612,1996-04-26,4,17,117,108,75.52447552447552,75
110,1997,19,9971,1997-04-20,4,16,110,128,25.2465483234714,25
116,1997,91,9977,1997-04-26,4,17,116,306,60.35502958579882,50
118,1997,48,9979,1997-04-28,4,17,118,389,76.72583826429981,75
96,1998,14,10322,1998-04-06,4,14,96,45,27.77777777777778,25
107,1998,5,10333,1998-04-17,4,16,107,81,50,50
115,1998,4,10341,1998-04-25,4,17,115,122,75.30864197530865,75
102,1999,6,10693,1999-04-12,4,15,102,17,34,25
107,1999,5,10698,1999-04-17,4,16,107,29,57.99999999999999,50
110,1999,6,10701,1999-04-20,4,16,110,41,82,75
100,2000,4,11056,2000-04-09,4,15,100,33,27.966101694915253,25
108,2000,9,11064,2000-04-17,4,16,108,67,56.779661016949156,50
113,2000,5,11069,2000-04-22,4,17,113,91,77.11864406779661,75
92,2001,4,11414,2001-04-02,4,14,92,8,29.629629629629626,25
94,2001,7,11416,2001-04-04,4,14,94,17,62.96296296296296,50
99,2001,9,11421,2001-04-09,4,15,99,27,100,75
107,2003,10,12159,2003-04-17,4,16,107,68,26.984126984126984,25
113,2003,22,12165,2003-04-23,4,17,113,128,50.79365079365079,50
116,2003,30,12168,2003-04-26,4,17,116,195,77.38095238095238,75
102,2004,4,12519,2004-04-11,4,15,102,150,25.597269624573375,25
112,2004,40,12529,2004-04-21,4,16,112,324,55.2901023890785,50
118,2004,86,12535,2004-04-27,4,17,118,499,85.15358361774744,75
99,2005,3,12882,2005-04-09,4,15,99,103,25.6857855361596,25
105,2005,21,12888,2005-04-15,4,15,105,210,52.36907730673317,50
112,2005,4,12895,2005-04-22,4,16,112,303,75.56109725685786,75
113,2006,5,13261,2006-04-23,4,17,113,48,26.229508196721312,25
122,2006,19,13270,2006-05-02,5,18,122,106,57.92349726775956,50
124,2006,18,13272,2006-05-04,5,18,124,145,79.23497267759562,75
102,2007,17,13615,2007-04-12,4,15,102,80,25.559105431309902,25
110,2007,11,13623,2007-04-20,4,16,110,166,53.03514376996805,50
118,2007,11,13631,2007-04-28,4,17,118,244,77.95527156549521,75
110,2008,18,13988,2008-04-19,4,16,110,152,25.123966942148762,25
117,2008,30,13995,2008-04-26,4,17,117,310,51.2396694214876,50
123,2008,15,14001,2008-05-02,5,18,123,463,76.52892561983471,75
100,2009,3,14344,2009-04-10,4,15,100,30,27.522935779816514,25
104,2009,12,14348,2009-04-14,4,15,104,55,50.45871559633027,50
110,2009,10,14354,2009-04-20,4,16,110,85,77.98165137614679,75
106,2010,7,14715,2010-04-16,4,16,106,34,30.08849557522124,25
112,2010,6,14721,2010-04-22,4,16,112,62,54.86725663716814,50
117,2010,7,14726,2010-04-27,4,17,117,89,78.76106194690266,75
101,2011,22,15075,2011-04-11,4,15,101,184,27.54491017964072,25
109,2011,40,15083,2011-04-19,4,16,109,360,53.89221556886228,50
113,2011,31,15087,2011-04-23,4,17,113,505,75.59880239520959,75
110,2012,18,15449,2012-04-19,4,16,110,169,27.170418006430868,25
115,2012,19,15454,2012-04-24,4,17,115,320,51.446945337620576,50
119,2012,61,15458,2012-04-28,4,17,119,470,75.56270096463022,75
113,2013,5,15818,2013-04-23,4,17,113,26,26,25
121,2013,4,15826,2013-05-01,5,18,121,50,50,50
125,2013,7,15830,2013-05-05,5,18,125,81,81,75
97,2014,8,16167,2014-04-07,4,14,97,40,26.666666666666668,25
103,2014,5,16173,2014-04-13,4,15,103,77,51.33333333333333,50
113,2014,5,16183,2014-04-23,4,17,113,116,77.33333333333333,75
107,2015,9,16542,2015-04-17,4,16,107,168,26.332288401253916,25
115,2015,42,16550,2015-04-25,4,17,115,353,55.32915360501567,50
122,2015,18,16557,2015-05-02,5,18,122,483,75.70532915360502,75
110,2016,12,16910,2016-04-19,4,16,110,157,26.700680272108844,25
120,2016,36,16920,2016-04-29,4,18,120,319,54.25170068027211,50
127,2016,15,16927,2016-05-06,5,19,127,455,77.38095238095238,75
99,2017,6,17265,2017-04-09,4,15,99,49,27.22222222222222,25
107,2017,13,17273,2017-04-17,4,16,107,99,55.00000000000001,50
115,2017,3,17281,2017-04-25,4,17,115,136,75.55555555555556,75
108,2018,29,17639,2018-04-18,4,16,108,75,31.512605042016805,25
110,2018,38,17641,2018-04-20,4,16,110,140,58.82352941176471,50
115,2018,14,17646,2018-04-25,4,17,115,180,75.63025210084034,75
108,2019,16,18004,2019-04-18,4,16,108,73,25.524475524475527,25
115,2019,24,18011,2019-04-25,4,17,115,154,53.84615384615385,50
126,2019,34,18022,2019-05-06,5,18,126,239,83.56643356643356,75
110,2021,2,18737,2021-04-20,4,16,110,12,25.53191489361702,25
113,2021,4,18740,2021-04-23,4,17,113,24,51.06382978723404,50
124,2021,7,18751,2021-05-04,5,18,124,37,78.72340425531915,75
