julianday,year,count,intDate,date,month,week,day,dailyCountCum,dailyPercentageCum,quartile
92,1998,104,10318,1998-04-02,4,14,92,227,44.773175542406314,25
93,1998,32,10319,1998-04-03,4,14,93,259,51.08481262327417,50
103,1998,10,10329,1998-04-13,4,15,103,390,76.92307692307693,75
87,1999,9,10678,1999-03-28,3,13,87,56,28.717948717948715,25
92,1999,18,10683,1999-04-02,4,14,92,111,56.92307692307692,50
100,1999,11,10691,1999-04-10,4,15,100,157,80.51282051282051,75
97,2000,23,11053,2000-04-06,4,14,97,467,25.547045951859953,25
103,2000,93,11059,2000-04-12,4,15,103,923,50.49234135667396,50
109,2000,56,11065,2000-04-18,4,16,109,1419,77.6258205689278,75
102,2001,19,11424,2001-04-12,4,15,102,175,25.88757396449704,25
107,2001,44,11429,2001-04-17,4,16,107,367,54.28994082840237,50
112,2001,34,11434,2001-04-22,4,16,112,532,78.69822485207101,75
95,2002,47,11782,2002-04-05,4,14,95,502,27.003765465303925,25
105,2002,173,11792,2002-04-15,4,15,105,1094,58.84884346422808,50
112,2002,124,11799,2002-04-22,4,16,112,1517,81.60301237224314,75
104,2003,297,12156,2003-04-14,4,15,104,405,48.44497607655502,25
105,2003,64,12157,2003-04-15,4,15,105,469,56.10047846889952,50
110,2003,10,12162,2003-04-20,4,16,110,632,75.5980861244019,75
99,2004,8,12516,2004-04-08,4,15,99,218,25.707547169811324,25
107,2004,19,12524,2004-04-16,4,16,107,437,51.53301886792453,50
109,2004,177,12526,2004-04-18,4,16,109,637,75.11792452830188,75
92,2005,19,12875,2005-04-02,4,14,92,168,25.609756097560975,25
97,2005,16,12880,2005-04-07,4,14,97,337,51.37195121951219,50
104,2005,105,12887,2005-04-14,4,15,104,549,83.6890243902439,75
105,2006,38,13253,2006-04-15,4,15,105,257,29.271070615034166,25
111,2006,106,13259,2006-04-21,4,16,111,487,55.466970387243734,50
115,2006,27,13263,2006-04-25,4,17,115,678,77.22095671981776,75
96,2007,38,13609,2007-04-06,4,14,96,188,25.96685082872928,25
102,2007,33,13615,2007-04-12,4,15,102,370,51.10497237569061,50
106,2007,72,13619,2007-04-16,4,16,106,546,75.41436464088397,75
99,2008,41,13977,2008-04-08,4,15,99,348,28.041901692183725,25
105,2008,80,13983,2008-04-14,4,15,105,647,52.13537469782433,50
111,2008,56,13989,2008-04-20,4,16,111,961,77.43755036261079,75
94,2009,53,14338,2009-04-04,4,14,94,474,25.929978118161927,25
98,2009,256,14342,2009-04-08,4,14,98,929,50.820568927789935,50
103,2009,41,14347,2009-04-13,4,15,103,1404,76.80525164113786,75
103,2010,50,14712,2010-04-13,4,15,103,212,31.314623338257014,25
108,2010,149,14717,2010-04-18,4,16,108,407,60.118168389955684,50
112,2010,10,14721,2010-04-22,4,16,112,513,75.7754800590842,75
95,2011,61,15069,2011-04-05,4,14,95,290,30.114226375908622,25
100,2011,41,15074,2011-04-10,4,15,100,482,50.05192107995846,50
110,2011,57,15084,2011-04-20,4,16,110,756,78.50467289719626,75
95,2012,23,15434,2012-04-04,4,14,95,243,25.10330578512397,25
100,2012,354,15439,2012-04-09,4,15,100,607,62.70661157024794,50
109,2012,160,15448,2012-04-18,4,16,109,858,88.63636363636364,75
104,2013,17,15809,2013-04-14,4,15,104,158,27.57417102966841,25
113,2013,32,15818,2013-04-23,4,17,113,295,51.48342059336824,50
116,2013,18,15821,2013-04-26,4,17,116,435,75.91623036649214,75
97,2014,28,16167,2014-04-07,4,14,97,209,28.35820895522388,25
104,2014,37,16174,2014-04-14,4,15,104,371,50.3392130257802,50
109,2014,22,16179,2014-04-19,4,16,109,561,76.11940298507463,75
99,2015,30,16534,2015-04-09,4,15,99,311,25.450081833060555,25
105,2015,54,16540,2015-04-15,4,15,105,617,50.49099836333879,50
113,2015,55,16548,2015-04-23,4,17,113,951,77.82324058919804,75
97,2016,3,16897,2016-04-06,4,14,97,129,25.1953125,25
104,2016,16,16904,2016-04-13,4,15,104,264,51.5625,50
113,2016,25,16913,2016-04-22,4,17,113,404,78.90625,75
95,2017,13,17261,2017-04-05,4,14,95,180,26.08695652173913,25
106,2017,19,17272,2017-04-16,4,16,106,362,52.46376811594203,50
115,2017,15,17281,2017-04-25,4,17,115,529,76.66666666666667,75
94,2018,30,17625,2018-04-04,4,14,94,127,28.22222222222222,25
100,2018,32,17631,2018-04-10,4,15,100,233,51.77777777777778,50
108,2018,22,17639,2018-04-18,4,16,108,351,78,75
94,2019,4,17990,2019-04-04,4,14,94,178,25.141242937853107,25
105,2019,17,18001,2019-04-15,4,15,105,370,52.259887005649716,50
111,2019,34,18007,2019-04-21,4,16,111,563,79.51977401129943,75
98,2020,35,18359,2020-04-07,4,14,98,241,26.629834254143645,25
102,2020,55,18363,2020-04-11,4,15,102,497,54.9171270718232,50
108,2020,54,18369,2020-04-17,4,16,108,695,76.79558011049724,75
97,2021,15,18724,2021-04-07,4,14,97,282,25.753424657534246,25
100,2021,235,18727,2021-04-10,4,15,100,566,51.68949771689497,50
113,2021,27,18740,2021-04-23,4,17,113,825,75.34246575342466,75
