time,latitude,longitude,year,month,day,station,salmon_smolt_count_per_day,date,week,dailyCountCum,dailyPercentageCum,quartile
1970-05-07T00:00:00Z,-9.578038,53.922202,1970,5,7,Newport,737,1970-05-07,19,4274,29.77359804946012,25
1970-05-13T00:00:00Z,-9.578038,53.922202,1970,5,13,Newport,1066,1970-05-13,19,7844,54.64298153953327,50
1970-05-23T00:00:00Z,-9.578038,53.922202,1970,5,23,Newport,476,1970-05-23,21,10882,75.80633925461512,75
1971-05-11T00:00:00Z,-9.578038,53.922202,1971,5,11,Newport,1013,1971-05-11,19,3884,28.008942092738152,25
1971-05-13T00:00:00Z,-9.578038,53.922202,1971,5,13,Newport,2711,1971-05-13,19,7836,56.50825701305258,50
1971-05-23T00:00:00Z,-9.578038,53.922202,1971,5,23,Newport,225,1971-05-23,21,10465,75.46693589096417,75
1972-05-04T00:00:00Z,-9.578038,53.922202,1972,5,4,Newport,267,1972-05-04,18,3718,26.4928031922474,25
1972-05-08T00:00:00Z,-9.578038,53.922202,1972,5,8,Newport,2192,1972-05-08,19,7178,51.14721390907795,50
1972-05-19T00:00:00Z,-9.578038,53.922202,1972,5,19,Newport,1374,1972-05-19,20,11746,83.69673649707853,75
1973-05-08T00:00:00Z,-9.578038,53.922202,1973,5,8,Newport,908,1973-05-08,19,3112,27.583761744371564,25
1973-05-10T00:00:00Z,-9.578038,53.922202,1973,5,10,Newport,2195,1973-05-10,19,6326,56.071618507356845,50
1973-05-12T00:00:00Z,-9.578038,53.922202,1973,5,12,Newport,2614,1973-05-12,19,9440,83.67310760503457,75
1974-05-10T00:00:00Z,-9.578038,53.922202,1974,5,10,Newport,3085,1974-05-10,19,4842,48.42484248424842,25
1974-05-11T00:00:00Z,-9.578038,53.922202,1974,5,11,Newport,395,1974-05-11,19,5237,52.375237523752375,50
1974-05-17T00:00:00Z,-9.578038,53.922202,1974,5,17,Newport,856,1974-05-17,20,8251,82.51825182518252,75
1975-04-29T00:00:00Z,-9.578038,53.922202,1975,4,29,Newport,2152,1975-04-29,17,3806,26.009704093487322,25
1975-05-04T00:00:00Z,-9.578038,53.922202,1975,5,4,Newport,2992,1975-05-04,18,9724,66.45253878220461,50
1975-05-13T00:00:00Z,-9.578038,53.922202,1975,5,13,Newport,408,1975-05-13,19,11196,76.51199343948609,75
1976-04-24T00:00:00Z,-9.578038,53.922202,1976,4,24,Newport,1516,1976-04-24,17,4273,26.476237685110604,25
1976-05-02T00:00:00Z,-9.578038,53.922202,1976,5,2,Newport,554,1976-05-02,18,8307,51.47159055703575,50
1976-05-12T00:00:00Z,-9.578038,53.922202,1976,5,12,Newport,921,1976-05-12,19,12618,78.18328273127207,75
1977-04-29T00:00:00Z,-9.578038,53.922202,1977,4,29,Newport,432,1977-04-29,17,1733,27.464342313787636,25
1977-05-09T00:00:00Z,-9.578038,53.922202,1977,5,9,Newport,31,1977-05-09,19,3164,50.14263074484945,50
1977-05-15T00:00:00Z,-9.578038,53.922202,1977,5,15,Newport,284,1977-05-15,20,4886,77.43264659270999,75
1978-05-14T00:00:00Z,-9.578038,53.922202,1978,5,14,Newport,1143,1978-05-14,20,3293,32.9992985269065,25
1978-05-17T00:00:00Z,-9.578038,53.922202,1978,5,17,Newport,822,1978-05-17,20,5464,54.754985469485916,50
1978-05-26T00:00:00Z,-9.578038,53.922202,1978,5,26,Newport,773,1978-05-26,21,7708,77.2422086381401,75
1979-05-12T00:00:00Z,-9.578038,53.922202,1979,5,12,Newport,129,1979-05-12,19,2020,25.193315041157394,25
1979-05-19T00:00:00Z,-9.578038,53.922202,1979,5,19,Newport,1824,1979-05-19,20,5782,72.11274632077826,50
1979-05-20T00:00:00Z,-9.578038,53.922202,1979,5,20,Newport,611,1979-05-20,20,6393,79.73310052382139,75
1980-06-03T00:00:00Z,-9.578038,53.922202,1980,6,3,Newport,5849,1980-06-03,23,5930,52.49645892351275,25
1980-06-03T00:00:00Z,-9.578038,53.922202,1980,6,3,Newport,5849,1980-06-03,23,5930,52.49645892351275,50
1980-06-04T00:00:00Z,-9.578038,53.922202,1980,6,4,Newport,3826,1980-06-04,23,9756,86.36685552407933,75
1981-05-03T00:00:00Z,-9.578038,53.922202,1981,5,3,Newport,900,1981-05-03,18,2726,28.886298611846982,25
1981-05-05T00:00:00Z,-9.578038,53.922202,1981,5,5,Newport,1806,1981-05-05,18,5205,55.1552400127159,50
1981-05-09T00:00:00Z,-9.578038,53.922202,1981,5,9,Newport,506,1981-05-09,19,7233,76.64512027127265,75
1982-05-07T00:00:00Z,-9.578038,53.922202,1982,5,7,Newport,2450,1982-05-07,19,3765,36.08741493338445,25
1982-05-11T00:00:00Z,-9.578038,53.922202,1982,5,11,Newport,1321,1982-05-11,19,6167,59.110514712930126,50
1982-05-12T00:00:00Z,-9.578038,53.922202,1982,5,12,Newport,2438,1982-05-12,19,8605,82.47867344004601,75
1983-05-11T00:00:00Z,-9.578038,53.922202,1983,5,11,Newport,704,1983-05-11,19,2871,30.195624737063525,25
1983-05-15T00:00:00Z,-9.578038,53.922202,1983,5,15,Newport,2540,1983-05-15,20,6907,72.64408918805216,50
1983-05-16T00:00:00Z,-9.578038,53.922202,1983,5,16,Newport,1573,1983-05-16,20,8480,89.18805216659655,75
1984-05-06T00:00:00Z,-9.578038,53.922202,1984,5,6,Newport,382,1984-05-06,19,2158,29.679548892862055,25
1984-05-09T00:00:00Z,-9.578038,53.922202,1984,5,9,Newport,605,1984-05-09,19,3664,50.39196809242195,50
1984-05-18T00:00:00Z,-9.578038,53.922202,1984,5,18,Newport,427,1984-05-18,20,5549,76.31687525787373,75
1985-05-07T00:00:00Z,-9.578038,53.922202,1985,5,7,Newport,593,1985-05-07,19,1837,29.23762533821423,25
1985-05-11T00:00:00Z,-9.578038,53.922202,1985,5,11,Newport,212,1985-05-11,19,3157,50.24669743752984,50
1985-05-16T00:00:00Z,-9.578038,53.922202,1985,5,16,Newport,68,1985-05-16,20,4721,75.13926468247652,75
1986-05-16T00:00:00Z,-9.578038,53.922202,1986,5,16,Newport,253,1986-05-16,20,1563,29.35762584522915,25
1986-05-21T00:00:00Z,-9.578038,53.922202,1986,5,21,Newport,397,1986-05-21,21,3046,57.21262208865515,50
1986-05-27T00:00:00Z,-9.578038,53.922202,1986,5,27,Newport,108,1986-05-27,21,4064,76.3335837716003,75
1987-05-13T00:00:00Z,-9.578038,53.922202,1987,5,13,Newport,229,1987-05-13,19,1045,27.79255319148936,25
1987-05-16T00:00:00Z,-9.578038,53.922202,1987,5,16,Newport,604,1987-05-16,20,2228,59.25531914893617,50
1987-06-01T00:00:00Z,-9.578038,53.922202,1987,6,1,Newport,211,1987-06-01,22,2888,76.80851063829788,75
1988-05-14T00:00:00Z,-9.578038,53.922202,1988,5,14,Newport,568,1988-05-14,20,1897,29.56210067009506,25
1988-05-16T00:00:00Z,-9.578038,53.922202,1988,5,16,Newport,1240,1988-05-16,20,4362,67.97568957456755,50
1988-05-21T00:00:00Z,-9.578038,53.922202,1988,5,21,Newport,34,1988-05-21,21,4825,75.19089917406887,75
1989-05-04T00:00:00Z,-9.578038,53.922202,1989,5,4,Newport,906,1989-05-04,18,1903,28.890238348261725,25
1989-05-12T00:00:00Z,-9.578038,53.922202,1989,5,12,Newport,24,1989-05-12,19,3302,50.12904205252771,50
1989-05-20T00:00:00Z,-9.578038,53.922202,1989,5,20,Newport,1382,1989-05-20,20,5230,79.39881584940034,75
1990-05-05T00:00:00Z,-9.578038,53.922202,1990,5,5,Newport,241,1990-05-05,18,1710,29.081632653061224,25
1990-05-12T00:00:00Z,-9.578038,53.922202,1990,5,12,Newport,1849,1990-05-12,19,4128,70.20408163265306,50
1990-05-14T00:00:00Z,-9.578038,53.922202,1990,5,14,Newport,259,1990-05-14,20,4655,79.16666666666666,75
1991-05-01T00:00:00Z,-9.578038,53.922202,1991,5,1,Newport,784,1991-05-01,18,1356,35.24824538601508,25
1991-05-14T00:00:00Z,-9.578038,53.922202,1991,5,14,Newport,574,1991-05-14,20,2410,62.64621783207694,50
1991-05-16T00:00:00Z,-9.578038,53.922202,1991,5,16,Newport,150,1991-05-16,20,2904,75.48739277358982,75
1992-04-30T00:00:00Z,-9.578038,53.922202,1992,4,30,Newport,402,1992-04-30,18,2076,30.021691973969634,25
1992-05-05T00:00:00Z,-9.578038,53.922202,1992,5,5,Newport,236,1992-05-05,18,3687,53.31887201735358,50
1992-05-09T00:00:00Z,-9.578038,53.922202,1992,5,9,Newport,281,1992-05-09,19,5456,78.90093998553868,75
1993-04-24T00:00:00Z,-9.578038,53.922202,1993,4,24,Newport,370,1993-04-24,17,1625,29.909810417817045,25
1993-04-25T00:00:00Z,-9.578038,53.922202,1993,4,25,Newport,1137,1993-04-25,17,2762,50.83747469169888,50
1993-05-19T00:00:00Z,-9.578038,53.922202,1993,5,19,Newport,439,1993-05-19,20,4512,83.0480397570403,75
1994-05-07T00:00:00Z,-9.578038,53.922202,1994,5,7,Newport,599,1994-05-07,19,1800,30.267361694972255,25
1994-05-10T00:00:00Z,-9.578038,53.922202,1994,5,10,Newport,230,1994-05-10,19,3116,52.39616613418531,50
