julianday,year,count,intDate,date,month,week,day,dailyCountCum,dailyPercentageCum,quartile
99,1997,395,9960,1997-04-09,4,15,99,1291,26.47119130613082,25
105,1997,143,9966,1997-04-15,4,15,105,2540,52.08119745745336,50
117,1997,561,9978,1997-04-27,4,17,117,4217,86.46709042444125,75
93,1998,53,10319,1998-04-03,4,14,93,244,27.85388127853881,25
105,1998,74,10331,1998-04-15,4,15,105,460,52.51141552511416,50
113,1998,33,10339,1998-04-23,4,17,113,658,75.11415525114155,75
92,1999,61,10683,1999-04-02,4,14,92,144,39.23705722070845,25
96,1999,18,10687,1999-04-06,4,14,96,194,52.86103542234333,50
101,1999,16,10692,1999-04-11,4,15,101,282,76.83923705722071,75
103,2000,16,11059,2000-04-12,4,15,103,175,26.395173453996986,25
108,2000,37,11064,2000-04-17,4,16,108,368,55.5052790346908,50
120,2000,20,11076,2000-04-29,4,18,120,507,76.47058823529412,75
105,2001,89,11427,2001-04-15,4,15,105,323,25.413060582218726,25
113,2001,59,11435,2001-04-23,4,17,113,687,54.05192761605036,50
117,2001,57,11439,2001-04-27,4,17,117,987,77.65538945712038,75
104,2002,13,11791,2002-04-14,4,15,104,120,25.53191489361702,25
112,2002,16,11799,2002-04-22,4,16,112,248,52.76595744680851,50
116,2002,8,11803,2002-04-26,4,17,116,355,75.53191489361703,75
106,2003,531,12158,2003-04-16,4,16,106,1702,34.90566037735849,25
109,2003,245,12161,2003-04-19,4,16,109,2622,53.77358490566038,50
118,2003,499,12170,2003-04-28,4,17,118,4134,84.78260869565217,75
110,2004,516,12527,2004-04-19,4,16,110,1452,34.70363288718929,25
113,2004,270,12530,2004-04-22,4,17,113,2212,52.868068833652,50
120,2004,153,12537,2004-04-29,4,18,120,3173,75.83652007648183,75
94,2005,97,12877,2005-04-04,4,14,94,898,25.976280011570722,25
103,2005,519,12886,2005-04-13,4,15,103,2083,60.254555973387326,50
108,2005,218,12891,2005-04-18,4,16,108,2769,80.09835117153601,75
109,2006,21,13257,2006-04-19,4,16,109,359,26.358296622613803,25
113,2006,82,13261,2006-04-23,4,17,113,695,51.027900146842875,50
119,2006,37,13267,2006-04-29,4,17,119,1026,75.33039647577093,75
103,2007,121,13616,2007-04-13,4,15,103,619,30.50763923114835,25
106,2007,199,13619,2007-04-16,4,16,106,1032,50.862493839329716,50
113,2007,33,13626,2007-04-23,4,17,113,1534,75.6037456875308,75
100,2008,33,13978,2008-04-09,4,15,100,419,25.059808612440193,25
110,2008,255,13988,2008-04-19,4,16,110,924,55.26315789473685,50
114,2008,102,13992,2008-04-23,4,17,114,1326,79.30622009569377,75
99,2009,257,14343,2009-04-09,4,15,99,821,31.14567526555387,25
103,2009,66,14347,2009-04-13,4,15,103,1340,50.834597875569045,50
111,2009,58,14355,2009-04-21,4,16,111,2017,76.51745068285281,75
109,2010,217,14718,2010-04-19,4,16,109,967,28.874290833084505,25
115,2010,202,14724,2010-04-25,4,17,115,1678,50.104508808599576,50
121,2010,163,14730,2010-05-01,5,18,121,2628,78.47118542848611,75
96,2011,73,15070,2011-04-06,4,14,96,453,25.392376681614348,25
100,2011,120,15074,2011-04-10,4,15,100,892,50,50
110,2011,125,15084,2011-04-20,4,16,110,1390,77.91479820627802,75
101,2012,220,15440,2012-04-10,4,15,101,419,44.669509594882726,25
102,2012,94,15441,2012-04-11,4,15,102,513,54.69083155650319,50
109,2012,40,15448,2012-04-18,4,16,109,728,77.61194029850746,75
107,2013,16,15812,2013-04-17,4,16,107,101,25.96401028277635,25
115,2013,43,15820,2013-04-25,4,17,115,207,53.213367609254504,50
120,2013,8,15825,2013-04-30,4,18,120,294,75.57840616966581,75
97,2014,202,16167,2014-04-07,4,14,97,601,25.749785775492718,25
107,2014,74,16177,2014-04-17,4,16,107,1234,52.870608397600684,50
114,2014,307,16184,2014-04-24,4,17,114,1955,83.7617823479006,75
105,2015,143,16540,2015-04-15,4,15,105,410,30.920060331825038,25
108,2015,429,16543,2015-04-18,4,16,108,928,69.98491704374057,50
110,2015,86,16545,2015-04-20,4,16,110,1014,76.47058823529412,75
107,2016,139,16907,2016-04-16,4,16,107,915,28.57589006870706,25
113,2016,274,16913,2016-04-22,4,17,113,1718,53.65396627108058,50
121,2016,292,16921,2016-04-30,4,18,121,2614,81.6364772017489,75
95,2017,36,17261,2017-04-05,4,14,95,346,25.68671121009651,25
104,2017,34,17270,2017-04-14,4,15,104,697,51.74461766889383,50
114,2017,16,17280,2017-04-24,4,17,114,1024,76.02078693392724,75
105,2018,101,17636,2018-04-15,4,15,105,366,28.045977011494255,25
109,2018,141,17640,2018-04-19,4,16,109,751,57.547892720306514,50
112,2018,76,17643,2018-04-22,4,16,112,1029,78.85057471264368,75
106,2019,25,18002,2019-04-16,4,16,106,464,25.466520307354557,25
110,2019,107,18006,2019-04-20,4,16,110,933,51.20746432491767,50
112,2019,183,18008,2019-04-22,4,16,112,1405,77.11306256860593,75
100,2021,78,18727,2021-04-10,4,15,100,482,27.00280112044818,25
112,2021,123,18739,2021-04-22,4,16,112,944,52.885154061624654,50
119,2021,50,18746,2021-04-29,4,17,119,1361,76.24649859943978,75
