julianday,year,count,intDate,date,month,week,day,dailyCountCum,dailyPercentageCum
1,1997,0,9862,1997-01-01,1,1,1,0,0
2,1997,0,9863,1997-01-02,1,1,2,0,0
3,1997,0,9864,1997-01-03,1,1,3,0,0
4,1997,0,9865,1997-01-04,1,1,4,0,0
5,1997,0,9866,1997-01-05,1,1,5,0,0
6,1997,0,9867,1997-01-06,1,1,6,0,0
7,1997,0,9868,1997-01-07,1,1,7,0,0
8,1997,0,9869,1997-01-08,1,2,8,0,0
9,1997,0,9870,1997-01-09,1,2,9,0,0
10,1997,0,9871,1997-01-10,1,2,10,0,0
11,1997,0,9872,1997-01-11,1,2,11,0,0
12,1997,0,9873,1997-01-12,1,2,12,0,0
13,1997,0,9874,1997-01-13,1,2,13,0,0
14,1997,0,9875,1997-01-14,1,2,14,0,0
15,1997,0,9876,1997-01-15,1,3,15,0,0
16,1997,0,9877,1997-01-16,1,3,16,0,0
17,1997,0,9878,1997-01-17,1,3,17,0,0
18,1997,0,9879,1997-01-18,1,3,18,0,0
19,1997,0,9880,1997-01-19,1,3,19,0,0
20,1997,0,9881,1997-01-20,1,3,20,0,0
21,1997,0,9882,1997-01-21,1,3,21,0,0
22,1997,0,9883,1997-01-22,1,4,22,0,0
23,1997,0,9884,1997-01-23,1,4,23,0,0
24,1997,0,9885,1997-01-24,1,4,24,0,0
25,1997,0,9886,1997-01-25,1,4,25,0,0
26,1997,0,9887,1997-01-26,1,4,26,0,0
27,1997,0,9888,1997-01-27,1,4,27,0,0
28,1997,0,9889,1997-01-28,1,4,28,0,0
29,1997,0,9890,1997-01-29,1,5,29,0,0
30,1997,0,9891,1997-01-30,1,5,30,0,0
31,1997,0,9892,1997-01-31,1,5,31,0,0
32,1997,0,9893,1997-02-01,2,5,32,0,0
33,1997,0,9894,1997-02-02,2,5,33,0,0
34,1997,0,9895,1997-02-03,2,5,34,0,0
35,1997,0,9896,1997-02-04,2,5,35,0,0
36,1997,0,9897,1997-02-05,2,6,36,0,0
37,1997,0,9898,1997-02-06,2,6,37,0,0
38,1997,0,9899,1997-02-07,2,6,38,0,0
39,1997,0,9900,1997-02-08,2,6,39,0,0
40,1997,0,9901,1997-02-09,2,6,40,0,0
41,1997,0,9902,1997-02-10,2,6,41,0,0
42,1997,0,9903,1997-02-11,2,6,42,0,0
43,1997,0,9904,1997-02-12,2,7,43,0,0
44,1997,0,9905,1997-02-13,2,7,44,0,0
45,1997,0,9906,1997-02-14,2,7,45,0,0
46,1997,0,9907,1997-02-15,2,7,46,0,0
47,1997,0,9908,1997-02-16,2,7,47,0,0
48,1997,0,9909,1997-02-17,2,7,48,0,0
49,1997,0,9910,1997-02-18,2,7,49,0,0
50,1997,0,9911,1997-02-19,2,8,50,0,0
51,1997,0,9912,1997-02-20,2,8,51,0,0
52,1997,0,9913,1997-02-21,2,8,52,0,0
53,1997,0,9914,1997-02-22,2,8,53,0,0
54,1997,0,9915,1997-02-23,2,8,54,0,0
55,1997,0,9916,1997-02-24,2,8,55,0,0
56,1997,0,9917,1997-02-25,2,8,56,0,0
