date,day,count,count_cpue_hours,year,month,week,dailyCountCum,dailyPercentageCum
2006-04-23,113,516,51.6,2006,4,17,3748,46.599527539475325
2006-04-24,114,773,79.3,2006,4,17,4521,56.21036926519955
2006-04-25,115,628,61.3,2006,4,17,5149,64.01840109411911
2006-04-26,116,602,61.7,2006,4,17,5751,71.50317045878404
2006-04-27,117,356,39.6,2006,4,17,6107,75.92937958473206
2006-04-28,118,334,47.7,2006,4,17,6441,80.08205893323387
2006-04-29,119,99,17.2,2006,4,17,6540,81.31294293174189
2006-04-30,120,113,16.1,2006,4,18,6653,82.71789133407933
2006-05-01,121,818,116.9,2006,5,18,7471,92.88822578639811
2006-05-02,122,419,52.4,2006,5,18,7890,98.09772472957852
2006-05-03,123,153,23.5,2006,5,18,8043,100
2007-04-11,101,93,9.5,2007,4,15,93,2.1693491952414274
2007-04-12,102,175,18.4,2007,4,15,268,6.251457895964544
2007-04-13,103,133,12.4,2007,4,15,401,9.353860508514114
2007-04-14,104,136,12.7,2007,4,15,537,12.526242127361792
2007-04-15,105,313,29.1,2007,4,15,850,19.827385117797995
2007-04-16,106,235,23.5,2007,4,16,1085,25.309073944483323
2007-04-17,107,240,23.4,2007,4,16,1325,30.907394448332166
2007-04-18,108,336,32.8,2007,4,16,1661,38.74504315372055
2007-04-19,109,371,33.7,2007,4,16,2032,47.39911359925355
2007-04-20,110,391,37.2,2007,4,16,2423,56.519710753440634
2007-04-21,111,315,30,2007,4,16,2738,63.867506414742245
2007-04-22,112,498,39.1,2007,4,16,3236,75.4840214602286
2007-04-23,113,343,31.2,2007,4,17,3579,83.4849545136459
2007-04-24,114,498,43.3,2007,4,17,4077,95.10146955913225
2007-04-25,115,114,10.9,2007,4,17,4191,97.76067179846046
2007-04-26,116,50,5,2007,4,17,4241,98.92698857009565
2007-04-27,117,46,6.6,2007,4,17,4287,100
2008-04-10,100,280,20.4,2008,4,15,280,4.801097393689986
2008-04-11,101,140,13.3,2008,4,15,420,7.20164609053498
